DetectorID,Location
706.4.735,I-11 SB between Buchanan Blvd and Hoover Dam Bridge Int/93
54.1.14,I-15 SB Russell Off-Ramp between I-15 SB and Russell Road
410.1.235,US-95 SB between Craig Road and Rancho Drive
405.2.206,US-95 SB between Torrey Pines Drive and Rainbow Boulevard
196.2.69,I-515 SB LV Blvd On-Ramp between Las Vegas Boulevard and I-515 SB
493.3.121,CC-215 WB between Wigwam Ave and Windmill Ln
608.2.480,CC-215 EB between Sahara Avenue and I-515 SB to Lake Mead Dr
9.3.2,CC-215 WB between I-15 SB to I-215 WB/EB Ramp and I-215 WB Decatur Off-Ramp
360.3.165,I-515 SB between Viking Road and Boulder Highway
374.3.287,I-515 NB between Boulder Highway and Viking Road
58.2.17,I-15 NB between I-15 NB Russell On-Ramp and I-15 NB Tropicana Off-Ramp
474.1.211,US-95 SB Decatur-Valley View CD between Decatur Road and Valley View Boulevard
403.2.533,I-15 NB between Centennial Parkway and Speedway Boulevard
431.3.350,I-15 SB between 7.71 Miles south of Sloan Road and 6.71 Miles south of Sloan Road
163.1.72,US-95 NB between US-95 NB Rancho Off-Ramp and US-95 NB Rancho On-Ramp
377.1.162,I-515 NB between Mountain Vista Street and Denning Street
749.1.201,US-95 NB MLK On Ramp between US-95 NB MLK On Ramp and US-95 NB
715.2.722,I-11 NB between US-93 and Paradise Hills Dr
209.1.65,I-515 NB Eastern On-Ramp between Eastern Avenue and I-515 NB
516.3.141,I 15 Exp NB between Warm Springs Road and Robindale Road
686.1.458,I-215 SB Aliante OnRamp between Flamingo Road and Tropicana Avenue
171.3.541,US-95 SB to I-15 SB Ramp between US-95 SB and I-15 SB
378.3.298,I-515 NB between Denning Street and Stephanie Street
715.3.722,I-11 NB between US-93 and Paradise Hills Dr
717.2.727,I-11 NB US 95 On Ramp between I-11 NB and US-95
631.1.496,I-215 SB Summerlin OffRamp between Sunset Road and Durango
404.3.212,US-95 SB between Meadows Lane and Torrey Pines Drive
73.2.23,I-15 NB Flamingo EB Off-Ramp between I-15 NB and Flamingo Road
406.3.232,US-95 SB between Rainbow Boulevard and Lake Mead Boulevard
639.1.466,I-215 NB Russel OffRamp between Cheyenne Avenue and Lake Mead Boulevard
368.2.379,I-515 SB between Waterwheel Falls Drive and American Pacific Drive
11.1.2,I-215 WB Decatur Off-Ramp between CC-215 WB and Decatur Road
593.2.474,CC-215 WB between Tropicana Avenue and Flamingo Road
588.1.422,I-15 SB Lamb Off Ramp between I-15 SB and Lamb
393.2.429,I-15 SB between Clark County 215 and Ann Road
48.2.83,I-15 NB between I-215 WB to I-15 NB Ramp and I-15 NB Russell Off-Ramp
65.1.19,I-15 SB Tropicana Off-Ramp between I-15 SB and Tropicana Avenue
149.2.240,I-15 NB between I-15 SB  Lake Mead Off-Ramp and I-15 NB  Lake Mead On-Ramp
132.1.80,I-15 SB between I-15 SB to US-95 Ramp and US-95 NB to I-15 SB Ramp
211.3.61,I-515 NB between I-515 NB Charleston On-Ramp and I-515 NB Eastern Off-Ramp
211.1.275,I-515 NB between I-515 NB Charleston On-Ramp and I-515 NB Eastern Off-Ramp
154.2.240,I-15 NB  Lake Mead EB On-Ramp between Lake Mead Boulevard and I-15 NB
97.1.33,I-15 NB between I-15 NB Desert Inn On-Ramp and I-15 NB Sahara Off-Ramp
102.1.769,I-15 SB between I-15 SB Sahara Off-Ramp and I-15 SB Sahara On-Ramp
665.3.453,CC-215 WB between I-515 SB College On Ramp and I-515 SB College Off Ramp
379.2.302,I-515 NB between Stephanie Street and Sunset Road
1.556.735,I-215 EB Decatur Off-Ramp between  and 
406.2.232,US-95 SB between Rainbow Boulevard and Lake Mead Boulevard
147.2.56,I-15 SB between I-15 SB Lake Mead EB On-Ramp and I-15 SB Washington Off-Ramp
160.2.242,I-15 NB between I-15 NB  Lake Mead On-Ramp and Cartier Avenue
382.1.373,I-515 NB between American Pacific Drive and Waterwheel Falls Drive
463.2.20,I 15 Exp SB between Harmon Ave and Tompkins
519.1.145,I 15 Exp SB between Robindale Road and Blue Diamond Road
747.2.556,I-215 SB Lone Mtn On Ramp between I-215 SB Lone Mtn On Ramp and I-215 SB
361.1.166,I-515 SB between Dell Santos Drive and Viking Road
